,title,institute,rate,ratingscount,level,enrollment,review_num,required_hour
41,Art and Science of Machine Learning en Español,Google Cloud,4.6,25,2,2210,10,20.0
69,Feature Engineering en Español,Google Cloud,4.5,24,2,2386,8,18.0
79,Launching into Machine Learning en Español,Google Cloud,4.7,94,2,2907,23,20.0
85,Meaningful Predictive Modeling,University of California San Diego,4.4,45,2,5120,9,9.0
90,AI Workflow: Enterprise Model Deployment,IBM,4.2,44,3,1934,9,9.0
102,Big Data: capstone project,Universitat Autònoma de Barcelona,4.7,48,3,3881,22,13.0
104,AI Workflow: AI in Production,IBM,4.5,41,3,2336,10,17.0
110,Data for Machine Learning,Alberta Machine Intelligence Institute,4.4,87,2,6200,24,12.0
115,Global Statistics - Composite Indices for International Comparisons,University of Geneva,4.6,37,2,2809,18,16.0
122,Optimizing Machine Learning Performance,Alberta Machine Intelligence Institute,4.6,38,0,5319,8,12.0
126,Advanced Linear Models for Data Science 2: Statistical Linear Models,Johns Hopkins University,4.6,70,3,19829,12,6.0
133,Design Thinking and Predictive Analytics for Data Products,University of California San Diego,4.5,61,2,7668,11,8.0
134,Practical Machine Learning on H2O,H2O,4.5,70,2,7291,17,24.0
139,Doing Clinical Research: Biostatistics with the Wolfram Language,University of Cape Town,4.7,38,1,3674,10,15.0
143,Статистические методы в гуманитарных исследованиях,National Research Tomsk State University,4.7,61,2,5506,20,20.0
145,Artificial Intelligence Privacy and Convenience,LearnQuest,4.6,37,2,1832,9,6.0
146,Statistics with R Capstone,Duke University,4.6,202,0,7354,51,6.0
149,Practical SAS Programming and Certification Review,SAS,4.9,350,2,13228,62,21.0
154,Data Science Project: MATLAB for the Real World,MathWorks,4.8,15,2,2877,8,13.0
155,Matrix Factorization and Advanced Techniques,University of Minnesota,4.3,177,0,13378,26,16.0
156,Bayesian Statistics: Mixture Models,"University of California, Santa Cruz",4.7,23,3,5117,8,22.0
157,Power and Sample Size for Multilevel and Longitudinal Study Designs,University of Florida,4.4,23,2,3588,4,24.0
161,人工智慧：機器學習與理論基礎 (Artificial Intelligence - Learning & Theory),National Taiwan University,4.6,38,2,7473,3,12.0
163,Знакомство с R и базовая статистика,Saint Petersburg State University,4.8,68,1,6249,18,20.0
165,Data Science for Business Innovation,EIT Digital ,4.3,166,1,7621,49,7.0
171,Increasing Real Estate Management Profits: Harnessing Data Analytics,Duke University,4.7,230,0,12987,51,23.0
172,"Intro to Analytic Thinking, Data Science, and Data Mining","University of California, Irvine",4.0,50,2,2803,11,7.0
173,Machine Learning Algorithms: Supervised Learning Tip to Tail,Alberta Machine Intelligence Institute,4.7,368,0,12958,61,9.0
174,Turn Ethical Frameworks into Actionable Steps,CertNexus,4.4,50,1,2698,8,15.0
176,Relational database systems,Universidad Nacional Autónoma de México,4.1,192,2,17197,49,15.0
180,Predictive Modeling and Machine Learning with MATLAB,MathWorks,4.7,78,2,10237,22,22.0
188,Business intelligence and data warehousing,Universidad Nacional Autónoma de México,3.9,87,2,9780,22,10.0
193,Clinical Data Models and Data Quality Assessments,University of Colorado System,4.2,52,2,4831,16,17.0
196,Big Data: visualización de datos,Universitat Autònoma de Barcelona,4.6,149,2,9762,60,9.0
197,Intro to TensorFlow en Español,Google Cloud,4.4,118,2,3579,28,18.0
199,How Google does Machine Learning en Español,Google Cloud,4.6,191,2,6041,64,8.0
200,Dealing With Missing Data,"University of Maryland, College Park",3.8,118,0,9965,33,18.0
201,Machine Learning: Clustering & Retrieval,University of Washington,4.6,2231,0,85636,382,17.0
203,NoSQL systems,Universidad Nacional Autónoma de México,4.2,115,2,8750,26,9.0
209,Data Analysis and Presentation Skills: the PwC Approach Final Project,PwC,4.8,224,1,3435,46,11.0
210,How Google does Machine Learning 日本語版,Google Cloud,4.5,126,2,2403,22,8.0
211,Promote the Ethical Use of Data-Driven Technologies,CertNexus,4.6,83,1,4936,16,21.0
219,Recommender Systems:  Evaluation and Metrics,University of Minnesota,4.4,216,0,11105,30,7.0
221,Google Cloud Platform Big Data and Machine Learning Fundamentals em Português Brasileiro,Google Cloud,4.8,65,2,1660,12,12.0
224,Artificial Intelligence Algorithms Models and Limitations,LearnQuest,4.7,101,1,4523,25,8.0
226,Factorial and Fractional Factorial Designs,Arizona State University,4.7,40,2,2848,9,12.0
228,"Response Surfaces, Mixtures, and Model Building",Arizona State University,4.7,45,2,2167,12,13.0
230,"Random Models, Nested and Split-plot Designs",Arizona State University,4.6,27,2,1840,5,9.0
235,Google Cloud Big Data and Machine Learning Fundamentals en Français,Google Cloud,4.3,25,2,1792,4,13.0
238,Building Data Visualization Tools,Johns Hopkins University,3.9,151,2,11270,40,13.0
239,Анализ данных: финальный проект,Moscow Institute of Physics and Technology,4.7,323,3,3741,64,44.0
244,Introduction to Recommender Systems:  Non-Personalized and Content-Based,University of Minnesota,4.5,592,2,30796,124,23.0
245,Introduction to Applied Machine Learning,Alberta Machine Intelligence Institute,4.7,614,2,19060,147,7.0
247,Communicating Business Analytics Results,University of Colorado Boulder,4.5,416,0,20333,86,7.0
248,Business Analytics for Decision Making,University of Colorado Boulder,4.6,1621,0,72526,418,9.0
249,Geospatial Analysis Project,"University of California, Davis",4.8,229,0,8360,69,62.0
250,Nearest Neighbor Collaborative Filtering,University of Minnesota,4.3,292,0,12464,66,15.0
255,Business Statistics and Analysis Capstone,Rice University,4.7,370,0,14205,70,7.0
258,Computational Social Science Capstone Project,"University of California, Davis",4.6,23,2,1953,8,14.0
260,Image Understanding with TensorFlow on GCP,Google Cloud,4.6,499,3,13203,58,12.0
261,Big Data: procesamiento y análisis,Universitat Autònoma de Barcelona,4.2,228,2,12287,89,13.0
262,Bayesian Methods for Machine Learning,HSE University,4.5,676,3,67795,197,33.0
263,AI Workflow: Feature Engineering and Bias Detection,IBM,4.5,60,3,2578,7,12.0
270,Data Processing and Feature Engineering with MATLAB,MathWorks,4.7,294,2,11455,103,18.0
276,Spatial Data Science and Applications,Yonsei University,4.4,407,2,17976,135,12.0
278,Practical Reinforcement Learning,HSE University,4.2,437,3,43434,116,26.0
279,Google Cloud Big Data and Machine Learning Fundamentals en Español,Google Cloud,4.7,616,2,17619,198,13.0
281,"AI Workflow: Machine Learning, Visual Recognition and NLP",IBM,4.5,60,3,2777,9,14.0
282,AI Workflow: Business Priorities and Data Ingestion,IBM,4.3,139,2,4290,33,8.0
283,Методология научных исследований и котики,National Research Tomsk State University,4.7,51,1,6261,14,14.0
284,Publishing Visualizations in R with Shiny and flexdashboard,Johns Hopkins University,4.9,22,0,1725,7,12.0
285,Advanced Data Visualization with R,Johns Hopkins University,4.8,31,0,1869,11,11.0
288,Estatística não-paramétrica para a tomada de decisão,Universidade de São Paulo,4.4,108,2,9098,31,13.0
289,Introdução ao Big Data,Fundação Instituto de Administração,4.6,306,1,14669,91,16.0
290,Improving Your Statistical Questions,Eindhoven University of Technology,4.9,89,2,5515,19,18.0
294,Machine Learning: Classification,University of Washington,4.7,3596,0,110915,597,21.0
302,Functional Programming in Scala Capstone,École Polytechnique Fédérale de Lausanne,4.4,530,0,12142,91,27.0
304,Linear Regression for Business Statistics,Rice University,4.8,1214,0,34299,200,28.0
306,Analyzing Big Data with SQL,Cloudera,4.9,430,1,19850,115,18.0
307,Predictive Modeling with Logistic Regression using SAS,SAS,4.6,28,2,1535,7,17.0
308,Business Analytics and Digital Media,Indian School of Business,4.4,642,1,20420,134,8.0
310,Introduction to Clinical Data Science,University of Colorado System,4.6,298,2,11829,88,8.0
311,Sequence Models for Time Series and Natural Language Processing,Google Cloud,4.4,463,3,14017,66,15.0
312,Big Data: adquisición y almacenamiento de datos,Universitat Autònoma de Barcelona,4.4,581,2,14673,258,11.0
313,Information Visualization: Advanced Techniques,New York University,4.7,29,2,3327,10,16.0
315,Information Visualization: Applied Perception,New York University,4.8,93,1,3638,28,12.0
318,機器學習基石下 (Machine Learning Foundations)---Algorithmic Foundations,National Taiwan University,4.9,298,2,13298,55,9.0
320,Conceptos Básicos de Excel para el Análisis de Datos,IBM,3.9,36,1,2242,19,12.0
322,Введение в данные,Novosibirsk State University ,4.7,154,2,9480,29,16.0
331,AI Workflow: Data Analysis and Hypothesis Testing,IBM,4.2,90,3,2736,15,11.0
332,Building R Packages,Johns Hopkins University,4.1,211,2,9686,56,21.0
333,Managing Machine Learning Projects with Google Cloud,Google Cloud,4.6,3522,1,109398,927,14.0
334,Applied Data Science for Data Analysts,Databricks,4.2,24,2,1632,6,16.0
335,Advanced Linear Models for Data Science 1: Least Squares,Johns Hopkins University,4.4,157,3,24946,39,8.0
337,Computer Simulations,"University of California, Davis",4.6,48,1,4423,12,13.0
341,"Data – What It Is, What We Can Do With It",Johns Hopkins University,4.5,70,1,2748,17,11.0
342,Accounting Data Analytics with Python,University of Illinois at Urbana-Champaign,4.1,50,2,7760,15,32.0
343,Basic Data Processing and Visualization,University of California San Diego,4.3,166,2,16803,48,11.0
346,Predictive Modeling and Analytics,University of Colorado Boulder,3.6,534,0,27676,196,11.0
347,Fundamentos de probabilidad y aplicaciones,Universidad de los Andes,4.8,58,2,4005,21,16.0
349,MongoDB Aggregation Framework,MongoDB Inc.,4.6,44,2,8246,11,19.0
352,Graph Analytics for Big Data,University of California San Diego,4.3,1179,0,41945,224,13.0
354,Recommendation Systems with TensorFlow on GCP,Google Cloud,4.5,423,3,13824,73,13.0
363,Big Data: el impacto de los datos masivos en la sociedad actual,Universitat Autònoma de Barcelona,4.7,1922,1,30802,724,7.0
364,Python для анализа данных,Moscow Institute of Physics and Technology,4.5,102,2,12969,23,37.0
366,Developing AI Applications on Azure,LearnQuest,4.4,936,3,43655,257,16.0
370,Introduction to Neurohacking In R,Johns Hopkins University,4.6,253,2,19559,49,18.0
371,Fundamentals of Machine Learning in Finance,New York University,3.8,296,2,16074,62,18.0
373,Reinforcement Learning in Finance,New York University,3.6,113,3,15794,30,17.0
374,Big Data Integration and Processing,University of California San Diego,4.4,2284,1,63773,493,18.0
375,Managing Big Data in Clusters and Cloud Storage,Cloudera,4.7,235,1,8845,53,21.0
377,Introduction to Statistical Analysis:  Hypothesis Testing,SAS,4.7,50,2,4231,13,10.0
380,Business Applications of Hypothesis Testing and Confidence Interval Estimation,Rice University,4.8,1155,0,25323,201,25.0
381,ML Pipelines on Google Cloud,Google Cloud,3.9,20,3,3598,3,11.0
386,Advanced R Programming,Johns Hopkins University,4.3,544,2,28008,134,18.0
387,How to Win a Data Science Competition: Learn from Top Kagglers,HSE University,4.7,1100,3,103547,270,54.0
389,Linear Regression and Modeling,Duke University,4.7,1544,1,79007,286,10.0
390,Advanced Business Analytics Capstone,University of Colorado Boulder,4.3,53,0,6892,17,19.0
391,Data Visualization in R with ggplot2,Johns Hopkins University,5.0,53,2,2682,12,13.0
392,Google Cloud Big Data and Machine Learning Fundamentals 日本語版,Google Cloud,4.5,152,2,3882,16,13.0
394,Машинное обучение в финансах,SberUniversity,4.5,78,2,8769,35,21.0
402,Introducción al Análisis de Datos,IBM,4.7,73,1,2605,27,11.0
404,Probabilistic Graphical Models 3: Learning,Stanford University,4.6,291,3,18191,51,66.0
405,Using Machine Learning in Trading and Finance,New York Institute of Finance,4.0,268,2,14169,69,19.0
406,Reinforcement Learning for Trading Strategies,New York Institute of Finance,3.7,172,2,9841,47,12.0
408,Data Analysis with R,IBM,4.9,16,2,1801,3,13.0
409,Прикладные задачи анализа данных,Moscow Institute of Physics and Technology,4.3,729,2,18131,112,28.0
412,Art and Science of Machine Learning,Google Cloud,4.6,1365,2,21971,119,19.0
413,Creating Advanced Reports with SAS Visual Analytics,SAS,4.7,165,2,7809,21,9.0
414,"Performing Network, Path, and Text Analyses in SAS Visual Analytics",SAS,4.7,168,2,6820,20,4.0
416,Machine Learning: Regression,University of Washington,4.8,5378,0,142383,1002,22.0
417,Introducción a La Inteligencia Artificial (IA),IBM,4.6,101,1,3769,35,9.0
419,Bancos de dados e SQL para Ciência de Dados,IBM,4.6,13,1,1921,3,14.0
420,Estadística aplicada a los negocios,Universidad Austral,4.6,640,1,46013,305,19.0
421,"Big Data, Artificial Intelligence, and Ethics","University of California, Davis",4.6,337,1,18326,93,12.0
422,Experimental Design Basics,Arizona State University,4.7,143,2,9217,36,13.0
423,Code Free Data Science,University of California San Diego,4.3,85,1,9999,29,14.0
424,Population Health: Predictive Analytics,Universiteit Leiden,5.0,12,2,2489,8,18.0
427,Building AI Applications with Watson APIs,IBM,4.3,572,2,11375,127,17.0
428,Population Health: Responsible Data Analysis,Universiteit Leiden,4.6,25,1,3146,6,21.0
429,Probabilistic Deep Learning with TensorFlow 2,Imperial College London,4.7,54,3,7822,19,53.0
431,Web of Data,EIT Digital ,4.2,73,2,3997,19,18.0
432,Production Machine Learning Systems,Google Cloud,4.6,867,3,19734,94,21.0
434,End-to-End Machine Learning with TensorFlow on GCP,Google Cloud,4.5,1578,3,51717,253,13.0
435,Applied Social Network Analysis in Python,University of Michigan,4.7,2479,2,81149,417,29.0
436,"Managing, Describing, and Analyzing Data",University of Colorado Boulder,4.3,15,1,2078,6,17.0
437,Big Data Modeling and Management Systems,University of California San Diego,4.4,2880,0,82301,491,13.0
438,A Complete Reinforcement Learning System (Capstone),University of Alberta,4.7,518,2,13232,110,16.0
439,Framework for Data Collection and Analysis,"University of Maryland, College Park",4.2,606,2,23227,139,10.0
440,Serverless Data Processing with Dataflow: Foundations,Google Cloud,4.2,17,2,1955,2,3.0
441,Fitting Statistical Models to Data with Python,University of Michigan,4.4,560,2,24317,103,15.0
442,Introduction to Deep Learning,HSE University,4.5,1811,3,165180,424,34.0
444,Guided Tour of Machine Learning in Finance,New York University,3.8,607,2,26490,195,24.0
445,Поиск структуры в данных,Moscow Institute of Physics and Technology,4.7,1441,2,21114,163,31.0
446,Построение выводов по данным,Moscow Institute of Physics and Technology,4.7,1013,3,21650,153,27.0
451,Microsoft Azure Machine Learning,Microsoft,4.8,30,1,1742,4,11.0
454,Applied Text Mining in Python,University of Michigan,4.2,3548,2,117750,687,29.0
455,Getting Started with Data Visualization in R,Johns Hopkins University,4.8,112,1,5741,36,12.0
458,機器學習基石上 (Machine Learning Foundations)---Mathematical Foundations,National Taiwan University,4.9,838,1,38293,153,10.0
460,MLOps (Machine Learning Operations) Fundamentals,Google Cloud,4.0,282,2,20895,91,16.0
462,Deep Learning and Reinforcement Learning,IBM,4.7,58,2,5055,13,14.0
463,Advanced Data Science Capstone,IBM,4.6,361,3,12945,66,9.0
465,"Introduction to Trading, Machine Learning & GCP",Google Cloud,4.0,655,2,28640,180,9.0
467,"Introduction to Data, Signal, and Image Analysis with MATLAB",Vanderbilt University,4.7,95,2,16030,32,23.0
468,Customising your models with TensorFlow 2,Imperial College London,4.8,120,2,9186,48,27.0
469,Using Data for Geographic Mapping and Forecasting in SAS Visual Analytics,SAS,4.8,183,2,7112,22,5.0
471,Exploratory Data Analysis with MATLAB,MathWorks,4.8,685,1,29698,195,19.0
472,"Basic Data Descriptors, Statistical Distributions, and Application to Business Decisions",Rice University,4.7,2100,0,43315,355,21.0
474,Social Media Data Analytics,University of Washington,4.1,266,2,34642,71,13.0
475,Data Visualization with Tableau Project,"University of California, Davis",4.6,398,2,20828,66,12.0
477,"Machine Learning Under the Hood: The Technical Tips, Tricks, and Pitfalls",SAS,4.8,52,1,3329,23,17.0
479,Specialized Models: Time Series and Survival Analysis,IBM,4.5,62,2,4983,19,11.0
481,Unsupervised Machine Learning,IBM,4.8,84,2,5124,20,9.0
484,Launching into Machine Learning,Google Cloud,4.6,4069,2,36929,465,22.0
486,Probabilistic Graphical Models 2: Inference,Stanford University,4.6,468,3,21703,73,38.0
487,Computational Social Science Methods,"University of California, Davis",4.7,225,1,8390,61,11.0
488,"The Power of Machine Learning: Boost Business, Accumulate Clicks, Fight Fraud, and Deny Deadbeats",SAS,4.8,125,1,8783,53,14.0
489,Fundamentos de estadística aplicada,Universidad de los Andes,4.4,26,2,3878,13,29.0
491,Introduction to Data Analytics for Business,University of Colorado Boulder,4.7,2758,0,148859,743,12.0
493,The R Programming Environment,Johns Hopkins University,4.3,1112,2,47365,306,27.0
495,Mathematics for Machine Learning: PCA,Imperial College London,4.0,2675,2,62104,672,18.0
497,Introduction to Accounting Data Analytics and Visualization,University of Illinois at Urbana-Champaign,4.8,350,1,18368,58,19.0
498,Launching Machine Learning: Delivering Operational Success with Gold Standard ML Leadership,SAS,4.9,66,1,3166,24,14.0
501,Data Analysis and Reporting in SAS Visual Analytics,SAS,4.8,276,0,10512,42,9.0
502,Building Deep Learning Models with TensorFlow,IBM,4.4,574,2,11906,118,13.0
504,Foundations for Big Data Analysis with SQL,Cloudera,4.8,904,1,37665,227,12.0
505,Inferential Statistical Analysis with Python,University of Michigan,4.6,733,2,29889,130,19.0
506,Structured Query Language (SQL) using SAS,SAS,4.9,115,0,6466,31,24.0
509,Scalable Machine Learning on Big Data using Apache Spark,IBM,3.8,1215,2,19166,308,7.0
510,Supervised Machine Learning: Classification,IBM,4.9,97,2,5573,23,11.0
512,Digital Marketing Analytics in Practice,University of Illinois at Urbana-Champaign,4.5,3121,1,106886,674,20.0
513,Apache Spark (TM) SQL for Data Analysts,Databricks,4.6,217,2,8546,63,14.0
514,Prediction and Control with Function Approximation,University of Alberta,4.8,671,2,15684,123,22.0
515,大數據分析：商業應用與策略管理 (Big Data Analytics: Business Applications and Strategic Decisions),National Taiwan University,4.7,180,1,13803,43,18.0
516,AI For Medical Treatment,DeepLearning.AI,4.7,445,2,15841,93,23.0
517,IBM Data Analyst Capstone Project,IBM,4.6,252,2,9589,34,14.0
518,Creating Dashboards and Storytelling with Tableau,"University of California, Davis",4.6,845,1,36421,156,15.0
519,Evaluations of AI Applications in Healthcare,Stanford University,4.5,100,1,4442,29,11.0
522,Visual Analytics with Tableau,"University of California, Davis",4.6,1579,1,39193,301,9.0
523,How Google does Machine Learning,Google Cloud,4.6,6684,2,101751,1052,8.0
524,Digital Marketing Analytics in Theory,University of Illinois at Urbana-Champaign,4.5,4517,1,114283,1092,20.0
525,Getting started with TensorFlow 2,Imperial College London,4.9,371,2,21983,131,26.0
526,Generative Deep Learning with TensorFlow,DeepLearning.AI,4.9,128,2,5664,18,23.0
527,Applied AI with DeepLearning,IBM,4.4,1030,3,47113,177,24.0
528,Statistics for Data Science with Python,IBM,4.6,145,0,8264,34,12.0
529,Data Science Ethics,University of Michigan,4.8,597,1,23019,168,15.0
531,Getting Started with Data Analytics on AWS,Amazon Web Services,4.7,75,1,5492,16,4.0
532,Visualization for Data Journalism,University of Illinois at Urbana-Champaign,4.4,48,1,5832,20,18.0
533,Анализ и обработка данных в Microsoft Power BI,Moscow Institute of Physics and Technology,4.5,35,1,3976,12,10.0
534,"Statistical Thinking for Industrial Problem Solving, presented by JMP",SAS,4.8,45,1,3387,18,44.0
535,Introduction to R Programming for Data Science,IBM,4.7,55,1,4735,16,10.0
537,Обучение на размеченных данных,Moscow Institute of Physics and Technology,4.8,2567,2,33697,343,59.0
538,Data Science in Stratified Healthcare and Precision Medicine,The University of Edinburgh,4.6,234,2,15656,62,17.0
540,Data Visualization with Advanced Excel,PwC,4.8,2708,1,76278,431,15.0
541,Essential Design Principles for Tableau,"University of California, Davis",4.5,1706,1,43457,287,13.0
542,An Intuitive Introduction to Probability,University of Zurich,4.7,1167,1,45317,466,30.0
543,Getting Started with AI using IBM Watson,IBM,4.5,2218,1,30898,430,10.0
544,Statistics with SAS,SAS,4.8,220,2,20985,65,20.0
545,Getting Started with SAS Visual Analytics,SAS,4.7,638,1,19755,123,5.0
546,Applied Machine Learning in Python,University of Michigan,4.6,7540,2,241480,1377,34.0
547,Probability and Statistics: To p or not to p?,University of London,4.6,1216,1,61811,423,16.0
548,AI for Medical Prognosis,DeepLearning.AI,4.7,669,2,17999,116,31.0
551,Distributed Computing with Spark SQL,"University of California, Davis",4.5,334,2,21657,82,14.0
553,Introduction to Deep Learning & Neural Networks with Keras,IBM,4.7,920,2,19882,187,8.0
554,"Foundations of Sports Analytics: Data, Representation, and Models in Sports",University of Michigan,4.5,34,0,4686,11,49.0
556,Julia Scientific Programming,University of Cape Town,4.5,383,1,30593,130,18.0
557,The Unix Workbench,Johns Hopkins University,4.7,1244,1,46597,380,19.0
