,title,institute,rate,ratingscount,level,enrollment,review_num,required_hour
495,Mathematics for Machine Learning: PCA,Imperial College London,4.0,2675,2,62104,672,18.0
496,Doing More with SAS Programming,SAS,4.8,698,2,21682,119,24.0
497,Introduction to Accounting Data Analytics and Visualization,University of Illinois at Urbana-Champaign,4.8,350,1,18368,58,19.0
498,Launching Machine Learning: Delivering Operational Success with Gold Standard ML Leadership,SAS,4.9,66,1,3166,24,14.0
499,Introduction to TensorFlow,Google Cloud,4.4,2599,2,,,17.0
500,Artificial Intelligence for Breast Cancer Detection,Johns Hopkins University,4.3,6,2,,,15.0
501,Data Analysis and Reporting in SAS Visual Analytics,SAS,4.8,276,0,10512,42,9.0
502,Building Deep Learning Models with TensorFlow,IBM,4.4,574,2,11906,118,13.0
503,Principles of fMRI 1,Johns Hopkins University,4.6,716,1,,,17.0
504,Foundations for Big Data Analysis with SQL,Cloudera,4.8,904,1,37665,227,12.0
505,Inferential Statistical Analysis with Python,University of Michigan,4.6,733,2,29889,130,19.0
506,Structured Query Language (SQL) using SAS,SAS,4.9,115,0,6466,31,24.0
507,Data Visualization,University of Illinois at Urbana-Champaign,4.5,1258,0,,,17.0
508,Building a Data Science Team,Johns Hopkins University,4.5,3186,0,,,17.0
509,Scalable Machine Learning on Big Data using Apache Spark,IBM,3.8,1215,2,19166,308,7.0
510,Supervised Machine Learning: Classification,IBM,4.9,97,2,5573,23,11.0
511,Базы данных (Databases),Saint Petersburg State University,4.0,224,0,21769,68,17.0
512,Digital Marketing Analytics in Practice,University of Illinois at Urbana-Champaign,4.5,3121,1,106886,674,20.0
513,Apache Spark (TM) SQL for Data Analysts,Databricks,4.6,217,2,8546,63,14.0
514,Prediction and Control with Function Approximation,University of Alberta,4.8,671,2,15684,123,22.0
515,大數據分析：商業應用與策略管理 (Big Data Analytics: Business Applications and Strategic Decisions),National Taiwan University,4.7,180,1,13803,43,18.0
516,AI For Medical Treatment,DeepLearning.AI,4.7,445,2,15841,93,23.0
517,IBM Data Analyst Capstone Project,IBM,4.6,252,2,9589,34,14.0
518,Creating Dashboards and Storytelling with Tableau,"University of California, Davis",4.6,845,1,36421,156,15.0
519,Evaluations of AI Applications in Healthcare,Stanford University,4.5,100,1,4442,29,11.0
520,Tools for Exploratory Data Analysis in Business,University of Illinois at Urbana-Champaign,4.8,6,1,1887,,18.0
521,Mastering Data Analysis in Excel,Duke University,4.2,3765,0,,,17.0
522,Visual Analytics with Tableau,"University of California, Davis",4.6,1579,1,39193,301,9.0
523,How Google does Machine Learning,Google Cloud,4.6,6684,2,101751,1052,8.0
524,Digital Marketing Analytics in Theory,University of Illinois at Urbana-Champaign,4.5,4517,1,114283,1092,20.0
525,Getting started with TensorFlow 2,Imperial College London,4.9,371,2,21983,131,26.0
526,Generative Deep Learning with TensorFlow,DeepLearning.AI,4.9,128,2,5664,18,23.0
527,Applied AI with DeepLearning,IBM,4.4,1030,3,47113,177,24.0
528,Statistics for Data Science with Python,IBM,4.6,145,0,8264,34,12.0
529,Data Science Ethics,University of Michigan,4.8,597,1,23019,168,15.0
530,Introduction to Big Data,University of California San Diego,4.6,9966,0,,,17.0
531,Getting Started with Data Analytics on AWS,Amazon Web Services,4.7,75,1,5492,16,4.0
532,Visualization for Data Journalism,University of Illinois at Urbana-Champaign,4.4,48,1,5832,20,18.0
533,Анализ и обработка данных в Microsoft Power BI,Moscow Institute of Physics and Technology,4.5,35,1,3976,12,10.0
534,"Statistical Thinking for Industrial Problem Solving, presented by JMP",SAS,4.8,45,1,3387,18,44.0
535,Introduction to R Programming for Data Science,IBM,4.7,55,1,4735,16,10.0
536,Genomic Data Science with Galaxy,Johns Hopkins University,3.6,911,0,,,17.0
537,Обучение на размеченных данных,Moscow Institute of Physics and Technology,4.8,2567,2,33697,343,59.0
538,Data Science in Stratified Healthcare and Precision Medicine,The University of Edinburgh,4.6,234,2,15656,62,17.0
539,"Applied Plotting, Charting & Data Representation in Python",University of Michigan,4.5,5808,2,155239,988,17.0
540,Data Visualization with Advanced Excel,PwC,4.8,2708,1,76278,431,15.0
541,Essential Design Principles for Tableau,"University of California, Davis",4.5,1706,1,43457,287,13.0
542,An Intuitive Introduction to Probability,University of Zurich,4.7,1167,1,45317,466,30.0
543,Getting Started with AI using IBM Watson,IBM,4.5,2218,1,30898,430,10.0
544,Statistics with SAS,SAS,4.8,220,2,20985,65,20.0
545,Getting Started with SAS Visual Analytics,SAS,4.7,638,1,19755,123,5.0
546,Applied Machine Learning in Python,University of Michigan,4.6,7540,2,241480,1377,34.0
547,Probability and Statistics: To p or not to p?,University of London,4.6,1216,1,61811,423,16.0
548,AI for Medical Prognosis,DeepLearning.AI,4.7,669,2,17999,116,31.0
549,Research Data Management and Sharing,The University of North Carolina at Chapel Hill,4.7,533,0,27121,151,17.0
550,Machine Translation,Karlsruhe Institute of Technology,4.5,53,2,,,17.0
551,Distributed Computing with Spark SQL,"University of California, Davis",4.5,334,2,21657,82,14.0
552,Analítica de Procesos: Optimización desde los Datos,Universidad de los Andes,4.5,,1,,,11.0
553,Introduction to Deep Learning & Neural Networks with Keras,IBM,4.7,920,2,19882,187,8.0
554,"Foundations of Sports Analytics: Data, Representation, and Models in Sports",University of Michigan,4.5,34,0,4686,11,49.0
555,A Crash Course in Data Science,Johns Hopkins University,4.5,7693,0,,,17.0
556,Julia Scientific Programming,University of Cape Town,4.5,383,1,30593,130,18.0
557,The Unix Workbench,Johns Hopkins University,4.7,1244,1,46597,380,19.0
558,DataOps Methodology,IBM,4.5,,1,,,10.0
559,"Big Data Analysis: Hive, Spark SQL, DataFrames and GraphFrames",Yandex,4.0,193,3,28788,43,37.0
560,Supervised Machine Learning: Regression,IBM,4.7,154,2,6924,35,11.0
561,Advanced Machine Learning and Signal Processing,IBM,4.5,1158,3,37168,210,27.0
562,Introduction to Data Analysis Using Excel,Rice University,4.7,8847,0,,,17.0
563,Apply Generative Adversarial Networks (GANs),DeepLearning.AI,4.8,361,2,11671,75,28.0
564,Introduction to Probability and Data with R,Duke University,4.7,4925,1,231485,1183,14.0
565,Applied Data Science Capstone,IBM,4.7,5570,2,84401,728,10.0
566,Problem Solving with Excel,PwC,4.7,4880,1,115731,886,20.0
567,Machine Learning Foundations for Product Managers,Duke University,4.5,,1,,,16.0
568,Fundamentals of Scalable Data Science,IBM,4.3,1910,1,59588,422,20.0
569,Improving your statistical inferences,Eindhoven University of Technology,4.9,693,2,56880,227,28.0
570,Deep Neural Networks with PyTorch,IBM,4.4,944,2,27762,220,31.0
571,Business Metrics for Data-Driven Companies,Duke University,4.6,7952,0,,,17.0
572,Getting Started with AWS Machine Learning,Amazon Web Services,4.5,5980,2,180820,1443,17.0
573,Hadoop Platform and Application Framework,University of California San Diego,4.0,3258,0,,,17.0
574,Sample-based Learning Methods,University of Alberta,4.7,986,2,19674,202,22.0
575,Practical Time Series Analysis,The State University of New York,4.6,1356,2,60634,385,26.0
576,Optimize ML Models and Deploy Human-in-the-Loop Pipelines,DeepLearning.AI,4.8,35,3,2081,9,11.0
577,Introduction to Computer Vision and Image Processing,IBM,4.5,650,1,21073,125,21.0
578,Basic Statistics,University of Amsterdam,4.6,3920,1,,,17.0
579,Computational Neuroscience,University of Washington,4.6,883,1,,,17.0
580,Introduction to Genomic Technologies,Johns Hopkins University,4.6,3595,0,,,17.0
581,Introduction to Designing Data Lakes on AWS,Amazon Web Services,4.7,61,2,5718,25,14.0
582,"Capstone: Retrieving, Processing, and Visualizing Data with Python",University of Michigan,4.7,11755,0,,,17.0
583,Excel aplicado a los negocios (Nivel Avanzado),Universidad Austral,4.8,2254,2,131423,967,17.0
584,R Programming,Johns Hopkins University,4.5,21217,2,,,17.0
585,Process Mining: Data science in Action,Eindhoven University of Technology,4.7,965,2,,,17.0
586,Введение в машинное обучение,HSE University,4.6,2396,0,108468,490,17.0
587,Introduction to Clinical Data,Stanford University,4.6,126,1,6889,26,12.0
588,Probability Theory: Foundation for Data Science,University of Colorado Boulder,4.4,8,2,4056,,48.0
589,Introduction to Embedded Machine Learning,Edge Impulse,4.8,184,2,,,17.0
590,"Data Wrangling, Analysis and AB Testing with SQL","University of California, Davis",3.4,401,2,28035,162,16.0
591,Fundamentals of Machine Learning for Healthcare,Stanford University,4.8,158,1,7795,46,12.0
592,Data Analysis Using Python,University of Pennsylvania,4.6,93,1,4161,33,17.0
593,Getting Started with SAS Programming,SAS,4.8,2026,1,65002,459,22.0
594,Computer Vision with Embedded Machine Learning,Edge Impulse,4.5,,2,,,31.0
595,Fundamentals of Visualization with Tableau,"University of California, Davis",4.5,5166,1,134170,1177,11.0
596,Data Analytics for Lean Six Sigma,University of Amsterdam,4.8,2411,1,46020,816,11.0
597,Bayesian Statistics: Techniques and Models,"University of California, Santa Cruz",4.8,418,2,45444,133,30.0
598,Understanding and Visualizing Data with Python,University of Michigan,4.7,2081,1,90006,431,20.0
599,Fundamentos de Excel para Negocios,Universidad Austral,4.8,4114,1,254119,1705,17.0
600,Introducción a Data Science: Programación Estadística con R,Universidad Nacional Autónoma de México,4.7,6985,1,183378,2817,17.0
601,Custom and Distributed Training with TensorFlow,DeepLearning.AI,4.8,217,2,7287,29,25.0
602,Probabilistic Graphical Models 1: Representation,Stanford University,4.6,1354,3,78604,302,67.0
603,A Crash Course in Causality:  Inferring Causal Effects from Observational Data,University of Pennsylvania,4.7,381,2,27134,129,18.0
604,Data-driven Decision Making,PwC,4.6,5603,1,146697,1071,17.0
605,AI for Medical Diagnosis,DeepLearning.AI,4.7,1593,2,45696,349,20.0
606,Build Better Generative Adversarial Networks (GANs),DeepLearning.AI,4.6,462,2,14039,70,30.0
607,Natural Language Processing with Attention Models,DeepLearning.AI,4.4,662,2,31763,166,31.0
608,Natural Language Processing with Sequence Models,DeepLearning.AI,4.5,784,2,33062,160,22.0
609,The Data Scientist’s Toolbox,Johns Hopkins University,4.6,32222,0,,,17.0
610,"Build, Train, and Deploy ML Pipelines using BERT",DeepLearning.AI,4.7,58,3,4352,9,11.0
611,Advanced Computer Vision with TensorFlow,DeepLearning.AI,4.8,245,2,11927,44,25.0
612,Математика и Python для анализа данных,Moscow Institute of Physics and Technology,4.8,5551,1,88344,940,28.0
613,"Sequences, Time Series and Prediction",DeepLearning.AI,4.7,4166,2,84509,673,14.0
614,Machine Learning Modeling Pipelines in Production,DeepLearning.AI,4.6,82,3,6137,18,26.0
615,Deploying Machine Learning Models in Production,DeepLearning.AI,4.8,20,3,3886,3,33.0
616,Introduction to Artificial Intelligence (AI),IBM,4.7,8027,1,142605,1779,17.0
617,"Custom Models, Layers, and Loss Functions with TensorFlow",DeepLearning.AI,4.9,539,2,13857,120,32.0
618,Data Visualization with Python,IBM,4.5,9527,2,132020,1428,17.0
619,Google Cloud Big Data and Machine Learning Fundamentals,Google Cloud,4.7,13765,2,,,17.0
620,Econometrics: Methods and Applications,Erasmus University Rotterdam,4.6,1058,0,,,17.0
621,Bayesian Statistics: From Concept to Data Analysis,"University of California, Santa Cruz",4.6,2792,2,123852,727,12.0
622,Exploratory Data Analysis for Machine Learning,IBM,4.6,419,2,20243,106,8.0
623,Machine Learning with Python,IBM,4.7,11519,2,,,17.0
624,Introduction to Machine Learning,Duke University,4.7,2779,2,,,17.0
625,Google Data Analytics Capstone: Complete a Case Study,Google,4.8,1011,1,42705,144,8.0
626,Natural Language Processing in TensorFlow,DeepLearning.AI,4.6,5614,2,94627,880,15.0
627,Foundations of Data Science: K-Means Clustering in Python,University of London,4.7,349,1,21306,117,29.0
628,Mathematics for Machine Learning: Linear Algebra,Imperial College London,4.7,10094,1,258162,2036,17.0
629,Analyze Datasets and Train ML Models using AutoML,DeepLearning.AI,4.6,134,3,9772,29,15.0
630,Introduction to Data Science in Python,University of Michigan,4.5,24599,2,,,17.0
631,Data Visualization and Dashboards with Excel and Cognos,IBM,4.7,836,1,24111,126,9.0
632,Natural Language Processing with Probabilistic Models,DeepLearning.AI,4.7,1208,2,37953,211,28.0
633,Databases and SQL for Data Science with Python,IBM,4.7,13820,1,211375,1670,19.0
634,Share Data Through the Art of Visualization,Google,4.5,1298,1,52566,278,24.0
635,Sequence Models,DeepLearning.AI,4.8,27046,2,305580,3216,41.0
636,Data Analysis with R Programming,Google,4.8,1164,1,53836,263,37.0
637,Convolutional Neural Networks in TensorFlow,DeepLearning.AI,4.7,6952,2,98697,1083,27.0
638,Data Science Methodology,IBM,4.6,16680,1,158743,2024,8.0
639,Data Analysis with Python,IBM,4.7,13929,1,,,17.0
640,Build Basic Generative Adversarial Networks (GANs),DeepLearning.AI,4.7,1261,2,32940,310,32.0
641,Python Project for Data Science,IBM,4.5,1092,2,34504,211,6.0
642,Fundamentals of Reinforcement Learning,University of Alberta,4.8,2105,2,54685,524,15.0
643,Tools for Data Science,IBM,4.5,22332,1,230836,3492,17.0
644,"Improving Deep Neural Networks: Hyperparameter Tuning, Regularization and Optimization",DeepLearning.AI,4.9,59375,2,416361,6864,17.0
645,Process Data from Dirty to Clean,Google,4.8,2256,1,74982,422,22.0
646,"Python for Data Science, AI & Development",IBM,4.6,23080,1,,,17.0
647,Convolutional Neural Networks,DeepLearning.AI,4.9,39612,2,379915,5239,39.0
648,Analyze Data to Answer Questions,Google,4.6,1613,1,60870,294,26.0
649,Natural Language Processing with Classification and Vector Spaces,DeepLearning.AI,4.6,2955,2,86820,606,31.0
650,Structuring Machine Learning Projects,DeepLearning.AI,4.8,47245,1,350038,5424,9.0
651,Excel Basics for Data Analysis,IBM,4.7,1540,1,56496,286,12.0
652,Machine Learning Data Lifecycle in Production,DeepLearning.AI,4.5,210,3,10922,37,21.0
653,Machine Learning,Stanford University,4.9,163798,0,,,17.0
654,"Foundations: Data, Data, Everywhere",Google,4.8,16817,1,406865,3718,20.0
655,Ask Questions to Make Data-Driven Decisions,Google,4.7,5592,1,133614,894,18.0
656,Neural Networks and Deep Learning,DeepLearning.AI,4.9,109140,2,,,17.0
657,Introduction to Statistics,Stanford University,4.6,377,1,49759,75,15.0
658,What is Data Science?,IBM,4.7,48595,1,,,17.0
659,Prepare Data for Exploration,Google,4.8,3225,1,94477,483,22.0
660,Introduction to Machine Learning in Production,DeepLearning.AI,4.8,824,3,28845,164,10.0
661,Introduction to Data Analytics,IBM,4.8,3435,1,,,17.0
662,SQL for Data Science,"University of California, Davis",4.6,10574,1,,,17.0
